Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
178;аккордеоне;аккордеон;inan;masc;н;4;на;У неё голос хороший , она на гитаре , на этой , как её , на аккордеоне играла
179;смысле;смысл;inan;masc;л;1;в;Он не . . . ну , такая она глупая вот в этом смысле , в этом смысле
180;смысле;смысл;inan;masc;л;1;в;Он не . . . ну , такая она глупая вот в этом смысле , в этом смысле
181;селе;село;inan;neut;л;1;в;Кнопка , кнопка , маленькая , говорят кнопка вон , собачка - то эта в селе кнопка , ну и это вот кнопка , вот это
182;классе;класс;inan;masc;с;1;в;Приехала с это , ещё дочь была я не знаю , в каком , либо в восьмом классе училась или в седьмом , я с ней поехала туда к ним в эту Ригу - то , в Латвию - то
183;этаже;этаж;inan;masc;ж;2;на;Тёть Ань , на пятом этаже живёшь , говорит , у вас лифта нет , говорит , как же ты на пятый этаж - то , говорит , это , подымаешься - ей
184;огороде;огород;inan;masc;д;3;на;Да надо вот на огороде чего - то этого , сажать , вот ягоду , ягода дорогая
185;городе;город;inan;masc;д;2;в;Я привыкла в городе , а , ну привыкла , так язык не , не бреши , я говорю
186;детстве;детство;inan;neut;в;1;в;А за чего сидел ? Велосипед украл в детстве , я не знаю , четрынадцать лет ему было , пятнадцать
187;доме;дом;inan;masc;м;1;в;Тогда он тут воспитывался , свекровья была живая , у нас вот в доме
188;доме;дом;inan;masc;м;1;в;А у них туалет в доме , а у меня туалета нету . А она полненная - страх какая , эта с . . . я полная , а она этого , во мне восемьдесят пять , а в ней сто пятнадцать килограмм
189;доме;дом;inan;masc;м;1;в;И вот сейчас в доме прям , выходишь вон , крышку откроешь < туда >
190;погребе;погреб;inan;masc;б;2;в;Слазишь , эти вот банки все там , уже там в погребе нету
191;погребе;погреб;inan;masc;б;2;в;Это там , в погребе храним
192;диване;диван;inan;masc;н;2;на;Одной спать на диване - я сплю , вон
193;комбайне;комбайн;inan;masc;н;2;на;Я на комбайне . Все ба . . . стояли мы под соломой
195;порядке;порядок;inan;masc;к;3;в;А вот какие там вон , в том порядке , и сколько гор , когда довезут до дома
196;магазине;магазин;inan;masc;н;3;в;Тут , в магазине - дороже , а они возят немножко подешевле
197;дворе;двор;inan;masc;р;1;на;И это , Саша . . . судно тоже на дворе хожу , а за мной ухаживают ещё , социальный работник
198;техникуме;техникум;inan;masc;м;3;в;Учился он в авиационном техникуме , тогда назначали ведь , давали путёвки , и место работы давали
199;колхозе;колхоз;inan;masc;з;2;в;Сено . В колхозе - то были сколько лошадей , этих , коров да лошадей - были
200;городе;город;inan;masc;д;2;в;В городе тоже дымяка . .
201;пороге;порог;inan;masc;г;2;на;Если я дома - чует , на пороге лежит
202;огороде;огород;inan;masc;д;3;в;Если я в огороде - пришел , лег на дорожку - будет лежать
203;дворе;двор;inan;masc;р;1;во;Валяется во дворе - жарко . Это он вас испугался
204;магазине;магазин;inan;masc;н;3;в;В магазине
205;магазине;магазин;inan;masc;н;3;в;В магазине
206;магазине;магазин;inan;masc;н;3;в;В магазине
207;севере;север;inan;masc;р;2;на;Муку , там тоже на севере нет ржаной муки , и вот эту закваску . То есть ее постоянно люди держат
208;огне;огонь;inan;masc;н';2;на;И это все потом - ну , часа три на медленном огне парится
209;огне;огонь;inan;masc;н';2;на;Не на огне , а в духовке
210;совхозе;совхоз;inan;masc;з;2;в;А сахарную свеклу мы , вот , и в этом году только не кушали . А вот в совхозе поля сажали , раньше бегали туда , воровали , причем там вкуснее , слаще
211;погребе;погреб;inan;masc;б;2;в;Как вот всю зиму - да , с . . . В погребе
212;пороге;порог;inan;masc;г;2;на;Они там , может , на пороге уж сидят
213;лагере;лагер;inan;masc;р;2;в;Она Машка была , внучка , а энта , одна была в лагере , а другая дома
214;Вербилове;вербилово;inan;neut;в;3;в;А она в Вербилове , а бабка в Круглянке живет . Ее , материна мать
215;корыте;корыто;inan;neut;т;2;в;Этою выгоняет , текет , она прям это , картошки у ней варятся ( вуорюццуть ) , она эту ( этой ) воду горячую там , кипит вода - то , в энтом ( в энтой ) корыте - то
216;поле;поле;inan;neut;л';1;в;В поле , в поле там один ячмень
217;поле;поле;inan;neut;л';1;в;В поле , в поле там один ячмень
218;совхозе;совхоз;inan;masc;з;2;в;И вот один в совхозе , там в совхозе , а второй этот купил , этот скупил вот этих , ну , такой арендатор - то
219;совхозе;совхоз;inan;masc;з;2;в;И вот один в совхозе , там в совхозе , а второй этот купил , этот скупил вот этих , ну , такой арендатор - то
220;июне;июнь;inan;masc;н';2;в;Тут , говорили , в июне ай в июле пенсию прибавят . Не прибавили
221;июле;июль;inan;masc;л';2;в;Тут , говорили , в июне ай в июле пенсию прибавят . Не прибавили
222;августе;август;inan;masc;т;2;в;А я слыхала , сказали , что в августе
223;транспортере;транспортёр;inan;masc;р;3;на;Я уборщицей работала , а муж был на транспортере
224;транспортере;транспортёр;inan;masc;р;3;на;Он работал на транспортере , а за ть . . . ещё мне записал на меня как будто я ходила днем за коровами счищала
225;окладе;оклад;inan;masc;д;2;на;А так я на окладе была - шестьдесят рублей уборщицам было
226;числе;число;inan;neut;л;1;в;Ну ячмень , ячмень он а . . . он в единственном числе ячмень
227;колхозе;колхоз;inan;masc;з;2;в;Вон , в колхозе будет , вон , поехал , кефир - зефиру купил . .
228;огороде;огород;inan;masc;д;3;на;И п . . . и на огороде уж нечего брать
229;августе;август;inan;masc;т;2;в;И слив привезла , и чернослив привезла , и яблок , ну ведь ещё сезон самое , в августе
230;пруде;пруд;inan;masc;д;1;в;А это вот , эти караси - то , сейчас продавают , это вон в пруде , ловят
231;пруде;пруд;inan;masc;д;1;на;Они тут наши малинские работают на пруде
232;клубе;клуб;inan;masc;б;1;в;А вот где вы , в клубе
233;августе;август;inan;masc;т;2;в;Туда по морозцу , прям морозы были , вот в августе , я знаю , ходили груши продавали , чернослив уж
234;месте;место;inan;neut;т;1;на;Ну и купили этою вот на этом месте
235;доме;дом;inan;masc;м;1;в;Он его поместил - в доме три хозяина
236;августе;август;inan;masc;т;2;в;Вот теперь уж . . . два года в августе
237;августе;август;inan;masc;т;2;в;Год пролежал , вот теперь в августе я не знаю какого числа он за ним ездил , я уж не помню
238;шифоньере;шифоньер;inan;masc;р;3;в;Так вон у меня в шифоньере много клочьев
239;поле;поле;inan;neut;л';1;в;Как , колосо . . . если в поле придешь , там много колосьев
240;пальце;палец;inan;masc;ц;2;в;В этом пальце
241;совхозе;совхоз;inan;masc;з;2;в;И я ходила выливать , работала в совхозе . .
243;сундуке;сундук;inan;masc;к;2;на;я на сундуке держала етого Серёжку маленького
244;заводе;завод;inan;masc;д;2;в;Мы работали в заводе , громко разговаривали
245;дворе;двор;inan;masc;р;1;во;во дворе , всё там двор , порядок , всё сделал . Всё помогал , всё делал
246;городе;город;inan;masc;д;2;в;я говорю , ну на . . . на все руки , вот не . . . не имеет значения , что он в городе жил
247;окне;окно;inan;neut;н;1;на;Вон у меня на окне цвет стоит
248;ручье;ручей;inan;masc;й;2;на;Ну , их Господь все равно наказал . Одного . . . одного прям на ручье . .
249;складе;склад;inan;masc;д;1;на;Где - то на складе щепок набрали , и за ще . . . за эти щепки сидели
250;решете;решето;inan;neut;т;2;в;В решете , вот решето у нее , она , вот такая стопа
251;солнышке;солнышко;inan;neut;к;2;на;Развалилась лежит на солнышке , жопу греет , обсушает лебо обоссалась
252;Мечке;мечек;inan;masc;к;1;в;Ну а , да дальше туда , а в Мечке - то каждый , справляли праздники , октябрьскую
253;крыльце;крыльцо;inan;neut;ц;1;на;Ну пенёк , на крыльце вон возьми , говорит . .
254;стуле;стул;inan;masc;л;1;на;стулу , и на стуле
255;клубе;клуб;inan;masc;б;1;в;А , в клубе
256;селе;село;inan;neut;л;1;в;Годовые , у нас в нашем селе Козьма - Девьян , Рождество
257;месте;место;inan;neut;т;1;на;А теперь вот хотят хоть бы открыть , и на этом месте , говорит , хотят , расчистили
258;магазине;магазин;inan;masc;н;3;в;Ну это , да , тогда были такие , а теперь в магазине платок купят и завяжут
259;доме;дом;inan;masc;м;1;в;А , да в доме , у кого что есть
260;доме;дом;inan;masc;м;1;в;Были . . . дом , а в доме такой с . . . вот как у меня сейчас вот сарай стоит
261;амбаре;амбар;inan;masc;р;2;в;И тогда так же такой же , амбарчик , в амбаре ( у ) в этом всё там были
262;марте;март;inan;masc;т;1;в;Сороки , я не знаю , в каком - то они . . . месяце , либо в марте наверно
263;районе;район;inan;masc;н;2;в;Назначили , говорит - три села дали : сказали , Введенка в Хлевенском районе , потом Отскочное , туда за Доном , и Малинино
264;Колодезе;колодезь;inan;masc;з';3;в;Да , ей . . . и у нее дочь в Конь - Колодезе в техникуме два года училась , да мальчик в деся . . . лет десять наверное , в третьем классе , в эту в Лозовку - то ездиет
265;техникуме;техникум;inan;masc;м;3;в;Да , ей . . . и у нее дочь в Конь - Колодезе в техникуме два года училась , да мальчик в деся . . . лет десять наверное , в третьем классе , в эту в Лозовку - то ездиет
266;классе;класс;inan;masc;с;1;в;Да , ей . . . и у нее дочь в Конь - Колодезе в техникуме два года училась , да мальчик в деся . . . лет десять наверное , в третьем классе , в эту в Лозовку - то ездиет
267;селе;село;inan;neut;л;1;в;А сейчас в селе только три коровы
268;городе;город;inan;masc;д;2;в;Это ведь в городе
269;асфальте;асфальт;inan;masc;т;2;на;Да . Первая тут остановка , и там останавливается , на асфальте
270;начале;начало;inan;neut;л;2;в;И в начале , и выезжать из Лозовки
271;районе;район;inan;masc;н;2;в;почему такое , почему у нас в районе , газета не печатается
272;августе;август;inan;masc;т;2;в;В мае это , раздавило его , а в августе помер
273;Коне;конь;inan;masc;н';1;в;Эта внучка то на сессию уедет , то вот в Задонск , в этом , в Коне учится ( пос . Конь - Колодезь )
